Wavelength,SSI
350.63599999999997,1067.8494945120765
350.637,1073.6367650903426
350.63800000000003,1079.1651989477277
350.639,1084.4476440085425
350.64,1089.4976075773502
350.64099999999996,1094.329196395308
350.642,1098.956946799797
350.64300000000003,1103.395744799545
350.644,1107.6606862060867
350.645,1111.767046661936
350.646,1115.7301417720448
350.647,1119.5652471789263
350.648,1123.2875386189949
350.649,1126.9119720352471
350.65,1130.453203652383
350.651,1133.9255000613177
350.65200000000004,1137.3426383130814
350.653,1140.7178060127212
350.654,1144.0634914225925
350.655,1147.39137356565
350.656,1150.7122423005687
350.65700000000004,1154.0358584532057
350.658,1157.3708339292814
350.659,1160.7246017425489
350.65999999999997,1164.1032261932087
350.661,1167.5113728960764
350.66200000000003,1170.9522388463151
350.663,1174.4274425227259
350.664,1177.9369639440895
350.66499999999996,1181.4791446691643
350.666,1185.0506078718101
350.66700000000003,1188.6462683315956
350.668,1192.2593024619698
350.669,1195.8811383196519
350.67,1199.5014955670715
350.671,1203.108385472367
350.672,1206.688110909387
350.673,1210.225366263789
350.674,1213.7031874799895
350.675,1217.1030419766532
350.67600000000004,1220.4048785997425
350.677,1223.587147603737
350.678,1226.626850604683
350.679,1229.4996005238531
350.68,1232.1796715407957
350.68100000000004,1234.6400989994322
350.682,1236.8526794080603
350.683,1238.788110307889
350.68399999999997,1240.4160502167
350.685,1241.705248506775
350.68600000000004,1242.6236453109955
350.687,1243.1385413632108
350.688,1243.2167378667748
350.68899999999996,1242.824746297356
350.69,1241.9290281775725
350.69100000000003,1240.4962048798013
350.692,1238.493327372644
350.693,1235.8882558641028
350.694,1232.6498895856082
350.695,1228.7486163694632
350.696,1224.1566423389695
350.697,1218.8484115140438
350.698,1212.8010054356112
350.699,1205.9945727618313
350.70000000000005,1198.4127888361538
350.701,1190.043185377443
350.702,1180.8776699916923
350.703,1170.9127859278824
350.704,1160.1501616554237
350.70500000000004,1148.5967706200158
350.706,1136.265200990113
350.707,1123.1738654597318
350.70799999999997,1109.3471610982094
350.709,1094.8155392844735
350.71000000000004,1079.6154857258214
350.711,1063.78949048609
350.712,1047.3858881359006
350.71299999999997,1030.4586379592372
350.714,1013.0670042539334
350.71500000000003,995.2752066603256
350.716,977.151990565027
350.717,958.770117579825
350.71799999999996,940.2058160581362
350.719,921.5381916490245
350.72,902.8485978887772
350.721,884.2199868112635
350.722,865.7362295864618
350.723,847.4814571402073
350.724,829.5393708021104
350.725,811.9925929159141
350.726,794.9220374310709
350.727,778.4062605131006
350.728,762.5209710037066
350.72900000000004,747.3383910217416
350.73,732.9268763200342
350.731,719.3503967736733
350.73199999999997,706.6682166804922
350.733,694.9345251085031
350.73400000000004,684.1981961212599
350.735,674.5025789750505
350.736,665.8852883160889
350.73699999999997,658.3782041805159
350.738,652.0073021540308
350.73900000000003,646.7927432873797
